bbox_width,bbox_height,area,extent,perimeter,num_chars
38.0,38.0,359.0,0.2486149584487535,211.48022890090942,2.0
66.0,34.0,1134.0,0.5053475935828877,323.90663421154017,3.0
18.0,12.0,68.5,0.31712962962962965,47.213203072547905,0.0
9.0,12.0,59.0,0.5462962962962963,34.485281229019165,0.0
4.0,7.0,6.5,0.23214285714285715,16.242640614509586,0.0
91.0,36.0,1205.0,0.36782661782661785,394.8771973848343,4.0
18.0,32.0,184.5,0.3203125,105.84061968326569,1.0
9.0,12.0,67.0,0.6203703703703703,39.313708305358894,0.0
33.0,33.0,605.5,0.5560146923783288,154.81118202209473,2.0
74.0,41.0,1171.5,0.3861239288068557,386.63455605506897,3.0
6.0,5.0,15.5,0.5166666666666667,16.242640614509586,0.0
31.0,33.0,457.0,0.4467253176930596,150.85281169414517,1.0
35.0,34.0,433.5,0.3642857142857143,222.4091602563858,2.0
14.0,31.0,179.5,0.41359447004608296,92.66904664039612,1.0
17.0,32.0,212.0,0.3897058823529412,93.94112479686736,1.0
83.0,33.0,1487.5,0.5430814165753924,326.83556687831884,4.0
34.0,42.0,530.5,0.3714985994397759,203.43859851360318,1.0
25.0,31.0,433.0,0.5587096774193548,99.39696788787842,1.0
13.0,33.0,209.0,0.4871794871794872,90.42640578746796,1.0
38.0,33.0,417.5,0.33293460925039875,238.0660153627396,2.0
34.0,38.0,483.5,0.3742260061919505,140.12489032745358,1.0
5.0,5.0,12.5,0.5,14.242640614509584,0.0
5.0,11.0,11.5,0.20909090909090908,25.071067690849304,0.0
19.0,25.0,180.0,0.37894736842105264,93.74011421203613,1.0
49.0,33.0,577.5,0.35714285714285715,269.52185797691345,3.0
20.0,32.0,265.5,0.41484375,108.32590067386627,1.0
25.0,29.0,422.5,0.5827586206896552,95.0121921300888,1.0
64.0,40.0,865.5,0.3380859375,325.80612874031067,3.0
31.0,31.0,447.5,0.4656607700312175,122.32590079307556,1.0
7.0,7.0,20.5,0.4183673469387755,19.899494647979733,0.0
52.0,30.0,585.0,0.375,239.96550977230072,2.0
77.0,39.0,997.0,0.33200133200133203,366.19090497493744,3.0
55.0,30.0,538.5,0.3263636363636364,255.86500442028046,2.0
61.0,36.0,951.0,0.4330601092896175,281.9066354036331,3.0
5.0,3.0,4.5,0.3,10.242640614509584,0.0
6.0,5.0,16.0,0.5333333333333333,15.656854152679445,0.0
56.0,33.0,886.0,0.4794372294372294,268.10764491558075,3.0
19.0,30.0,215.5,0.3780701754385965,115.15432751178741,1.0
19.0,34.0,166.0,0.25696594427244585,105.25483322143556,1.0
21.0,31.0,244.5,0.3755760368663594,113.49747347831726,1.0
33.0,33.0,350.0,0.3213957759412305,162.36753070354462,1.0
25.0,30.0,373.5,0.498,127.63960886001587,1.0
37.0,32.0,481.5,0.4066722972972973,206.06601560115814,2.0
10.0,16.0,48.5,0.303125,44.870057106018066,0.0
53.0,34.0,725.5,0.40260821309655936,263.37972295284266,3.0
40.0,43.0,604.5,0.351453488372093,288.6934313774109,2.0
52.0,32.0,516.0,0.31009615384615385,254.3086551427841,2.0
